10, 26, 34, 48, 49, 50, 58, 69, 102, 118
9, 25, 33, 47, 48, 49, 57, 68, 101, 117
8, 24, 32, 46, 47, 48, 56, 67, 100, 116
7, 23, 31, 45, 46, 47, 55, 66, 99, 115
6, 22, 30, 44, 45, 46, 54, 65, 98, 114
5, 21, 29, 43, 44, 45, 53, 64, 97, 113
4, 20, 28, 42, 43, 44, 52, 63, 96, 112
3, 19, 27, 41, 42, 43, 51, 62, 95, 111
2, 18, 26, 40, 41, 42, 50, 61, 94, 110
1, 17, 25, 39, 40, 41, 49, 60, 93, 109
0, 16, 24, 38, 39, 40, 48, 59, 92, 108
1, 15, 23, 37, 38, 39, 47, 58, 91, 107
2, 14, 22, 36, 37, 38, 46, 57, 90, 106
3, 13, 21, 35, 36, 37, 45, 56, 89, 105
4, 12, 20, 34, 35, 36, 44, 55, 88, 104
5, 11, 19, 33, 34, 35, 43, 54, 87, 103
6, 10, 18, 32, 33, 34, 42, 53, 86, 102
7, 9, 17, 31, 32, 33, 41, 52, 85, 101
8, 8, 16, 30, 31, 32, 40, 51, 84, 100
7, 9, 15, 29, 30, 31, 39, 50, 83, 99
6, 10, 14, 28, 29, 30, 38, 49, 82, 98
5, 11, 13, 27, 28, 29, 37, 48, 81, 97
4, 12, 12, 26, 27, 28, 36, 47, 80, 96
3, 11, 13, 25, 26, 27, 35, 46, 79, 95
2, 10, 14, 24, 25, 26, 34, 45, 78, 94
1, 9, 15, 23, 24, 25, 33, 44, 77, 93
0, 8, 16, 22, 23, 24, 32, 43, 76, 92
1, 7, 17, 21, 22, 23, 31, 42, 75, 91
2, 6, 18, 20, 21, 22, 30, 41, 74, 90
3, 5, 19, 19, 20, 21, 29, 40, 73, 89
4, 4, 18, 19, 20, 20, 28, 39, 72, 88
3, 5, 17, 18, 19, 21, 27, 38, 71, 87
2, 6, 16, 17, 18, 22, 26, 37, 70, 86
1, 7, 15, 16, 17, 23, 25, 36, 69, 85
0, 8, 14, 15, 16, 24, 24, 35, 68, 84
1, 9, 13, 14, 15, 23, 25, 34, 67, 83
2, 10, 12, 13, 14, 22, 26, 33, 66, 82
3, 11, 11, 12, 13, 21, 27, 32, 65, 81
4, 10, 11, 12, 12, 20, 28, 31, 64, 80
5, 9, 10, 11, 13, 19, 29, 30, 63, 79
6, 8, 9, 10, 14, 18, 29, 30, 62, 78
7, 7, 8, 9, 15, 17, 28, 31, 61, 77
6, 7, 8, 8, 16, 16, 27, 32, 60, 76
5, 6, 7, 9, 15, 17, 26, 33, 59, 75
4, 5, 6, 10, 14, 18, 25, 34, 58, 74
3, 4, 5, 11, 13, 19, 24, 35, 57, 73
2, 3, 4, 12, 12, 20, 23, 36, 56, 72
1, 2, 3, 11, 13, 21, 22, 37, 55, 71
0, 1, 2, 10, 14, 21, 22, 38, 54, 70
0, 1, 1, 9, 15, 20, 23, 39, 53, 69
0, 1, 2, 8, 16, 19, 24, 40, 52, 68
1, 2, 3, 7, 17, 18, 25, 41, 51, 67
2, 3, 4, 6, 17, 18, 26, 42, 50, 66
3, 4, 5, 5, 16, 19, 27, 43, 49, 65
4, 4, 5, 6, 15, 20, 28, 44, 48, 64
3, 5, 6, 7, 14, 21, 29, 45, 47, 63
2, 6, 7, 8, 13, 22, 30, 46, 46, 62
1, 7, 8, 9, 12, 23, 31, 45, 47, 61
0, 8, 9, 10, 11, 24, 32, 44, 48, 60
1, 9, 10, 10, 11, 25, 33, 43, 49, 59
2, 9, 10, 11, 12, 26, 34, 42, 50, 58
3, 8, 11, 12, 13, 27, 35, 41, 51, 57
4, 7, 12, 13, 14, 28, 36, 40, 52, 56
5, 6, 13, 14, 15, 29, 37, 39, 53, 55
5, 6, 14, 15, 16, 30, 38, 38, 54, 54
4, 7, 15, 16, 17, 31, 37, 39, 53, 55
3, 8, 16, 17, 18, 32, 36, 40, 52, 56
2, 9, 17, 18, 19, 33, 35, 41, 51, 57
1, 10, 18, 19, 20, 34, 34, 42, 50, 58
0, 11, 19, 20, 21, 33, 35, 43, 49, 59
1, 12, 20, 21, 22, 32, 36, 44, 48, 60
2, 13, 21, 22, 23, 31, 37, 45, 47, 61
3, 14, 22, 23, 24, 30, 38, 46, 46, 62
4, 15, 23, 24, 25, 29, 39, 45, 47, 63
5, 16, 24, 25, 26, 28, 40, 44, 48, 64
6, 17, 25, 26, 27, 27, 41, 43, 49, 65
7, 18, 26, 26, 27, 28, 42, 42, 50, 66
8, 19, 25, 27, 28, 29, 41, 43, 51, 67
9, 20, 24, 28, 29, 30, 40, 44, 52, 68
10, 21, 23, 29, 30, 31, 39, 45, 53, 69
11, 22, 22, 30, 31, 32, 38, 46, 54, 70
12, 21, 23, 31, 32, 33, 37, 47, 55, 71
13, 20, 24, 32, 33, 34, 36, 48, 56, 72
14, 19, 25, 33, 34, 35, 35, 49, 57, 73
15, 18, 26, 34, 34, 35, 36, 50, 58, 74
16, 17, 27, 33, 35, 36, 37, 51, 59, 75
16, 17, 28, 32, 36, 37, 38, 52, 60, 76
15, 18, 29, 31, 37, 38, 39, 53, 61, 77
14, 19, 30, 30, 38, 39, 40, 54, 62, 78
13, 20, 29, 31, 39, 40, 41, 55, 63, 79
12, 21, 28, 32, 40, 41, 42, 56, 64, 80
11, 22, 27, 33, 41, 42, 43, 57, 65, 81
10, 23, 26, 34, 42, 43, 44, 58, 66, 82
9, 24, 25, 35, 43, 44, 45, 59, 67, 83
8, 24, 25, 36, 44, 45, 46, 60, 68, 84
7, 23, 26, 37, 45, 46, 47, 61, 69, 85
6, 22, 27, 38, 46, 47, 48, 62, 70, 86
5, 21, 28, 39, 47, 48, 49, 63, 71, 87
4, 20, 29, 40, 48, 49, 50, 64, 72, 88
3, 19, 30, 41, 49, 50, 51, 65, 73, 89
2, 18, 31, 42, 50, 51, 52, 66, 74, 90
1, 17, 32, 43, 51, 52, 53, 67, 75, 91
0, 16, 33, 44, 52, 53, 54, 68, 76, 92
1, 15, 34, 45, 53, 54, 55, 69, 77, 93
2, 14, 35, 46, 54, 55, 56, 70, 78, 94
3, 13, 36, 47, 55, 56, 57, 71, 79, 95
4, 12, 37, 48, 56, 57, 58, 72, 80, 96
5, 11, 38, 49, 57, 58, 59, 73, 81, 97
6, 10, 39, 50, 58, 59, 60, 74, 82, 98
7, 9, 40, 51, 59, 60, 61, 75, 83, 99
8, 8, 41, 52, 60, 61, 62, 76, 84, 100
7, 9, 42, 53, 61, 62, 63, 77, 85, 101
6, 10, 43, 54, 62, 63, 64, 78, 86, 102
5, 11, 44, 55, 63, 64, 65, 79, 87, 103
4, 12, 45, 56, 64, 65, 66, 80, 88, 104
3, 13, 46, 57, 65, 66, 67, 81, 89, 105
2, 14, 47, 58, 66, 67, 68, 82, 90, 106
1, 15, 48, 59, 67, 68, 69, 83, 91, 107
0, 16, 49, 60, 68, 69, 70, 84, 92, 108
1, 17, 50, 61, 69, 70, 71, 85, 93, 109
2, 18, 51, 62, 70, 71, 72, 86, 94, 110
3, 19, 52, 63, 71, 72, 73, 87, 95, 111
4, 20, 53, 64, 72, 73, 74, 88, 96, 112
5, 21, 54, 65, 73, 74, 75, 89, 97, 113
6, 22, 55, 66, 74, 75, 76, 90, 98, 114
7, 23, 56, 67, 75, 76, 77, 91, 99, 115
8, 24, 57, 68, 76, 77, 78, 92, 100, 116
9, 25, 58, 69, 77, 78, 79, 93, 101, 117
10, 26, 59, 70, 78, 79, 80, 94, 102, 118
